Order Event,Fix_Col_0,FirmROID,MsgType,CAT_IM_ID,Date,Order ID,Symbol,TimeStamp,Fix_Col_1,Fix_Col_2,Fix_Col_3,Fix_Col_4,Fix_Col_5,Fix_Col_6,Fix_Col_7,Fix_Col_8,SideType,Price,Quantity,Fix_Col_9,OrderType,TIF,Trading_Session,Fix_Col_10,Fix_Col_11,FDID,Acc Type,Fix_Col_12,Fix_Col_13,Fix_Col_14,Fix_Col_15,Fix_Col_16,Fix_Col_17,Fix_Col_18,Fix_Col_19,Fix_Col_20,Fix_Col_21,Fix_Col_22,Fix_Col_23,Fix_Col_24,Fix_Col_25,Fix_Col_26,Fix_Col_27,Fix_Col_28,Fix_Col_29
NEW,,20240515_CAT-VCVW-1,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-1,ESGRP,20240515T160002.297339125,False,False,,,,T,False,,B,25.19,394,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-2,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-2,RILYN,20240515T160002.260247527,False,False,,,,T,False,,SS,21.24,83,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-3,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-3,LZM,20240515T160002.612369193,False,False,,,,T,False,,SL,6.85,93,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-4,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-4,ESGRO,20240515T160002.278876965,False,False,,,,T,False,,B,24.42,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-5,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-5,NMFCZ,20240515T160002.501851496,False,False,,,,T,False,,SL,25.47,500,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-6,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-6,MITN,20240515T160004.354887622,False,False,,,,T,False,,SL,25.27,400,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-7,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-7,PNFPP,20240515T160001.753342756,False,False,,,,T,False,,B,23.48,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-8,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-8,PCGPRA,20240515T160001.772771082,False,False,,,,T,False,,B,22.72,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-9,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-9,GOODN,20240515T160002.025203026,False,False,,,,T,False,,B,22.06,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-10,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-10,PNFPP,20240515T160001.756999137,False,False,,,,T,False,,SL,23.8,94,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-11,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-11,NTRSO,20240515T160002.053742698,False,False,,,,T,False,,SL,21.22,235,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-12,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-12,SPEPRC,20240515T160002.605026031,False,False,,,,T,False,,B,22.82,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-13,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-13,ESGRP,20240515T160002.057411474,False,False,,,,T,False,,B,25.09,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-14,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-14,ONBPO,20240515T160001.947284505,False,False,,,,T,False,,B,24.79,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-15,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-15,CHSCN,20240515T160002.442827215,False,False,,,,T,False,,B,25.96,300,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-16,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-16,BHFAM,20240515T160001.940112262,False,False,,,,T,False,,B,16.02,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-17,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-17,TCBIO,20240515T160002.226888303,False,False,,,,T,False,,B,19.32,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-18,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-18,HPPPRC,20240515T160002.583365692,False,False,,,,T,False,,B,14.22,700,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-19,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-19,FULTP,20240515T160001.993853580,False,False,,,,T,False,,B,18.67,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-20,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-20,GECCM,20240515T160002.376701295,False,False,,,,T,False,,B,25.06,70,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-21,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-21,TCBIO,20240515T160002.226888303,False,False,,,,T,False,,SL,19.32,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240515_CAT-VCVW-22,MENO,VCVW,20240515T000000.00000000,CAT-VCVW-OrderID-22,AAA,20240515T160002.226888303,False,False,,,,T,False,,SL,19.32,100,,LMT,DAY=20240515,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
